experiment_id,epoch,train_loss,test_loss,accuracy,delta,lr,best_accuracy,mode,phase,timestamp,generalization_gap,acc_best_so_far,test_loss_best_so_far,train_loss_delta,test_loss_delta,delta_zone,test_loss_rolling_mean,test_loss_rolling_slope,accuracy_rolling_mean,accuracy_rolling_slope,lr_changed
greg_v3_20251222_235207,26,0.48002681418148146,0.3669929719423946,87.48,26.57542738652055,0.01,87.48,NORMAL,CONVERGENCE,2025-12-23T03:26:59.071111,-0.11303384223908686,87.48,0.3669929719423946,-0.025443596303310556,-0.028722911507268467,Alerta,0.40219299321687674,-0.01692938140406531,86.34200000000001,0.5492857142857152,False
greg_v3_20251222_235207,28,0.461140305566056,0.3646564636426636,87.6,29.831698746447998,0.01,87.6,NORMAL,CONVERGENCE,2025-12-23T03:43:11.901948,-0.09648384192339243,87.6,0.3646564636426636,-0.018886508615425457,-0.0023365082997310327,Alerta,0.3882243806048285,-0.015333302770396037,86.77799999999999,0.47964285714285737,False
greg_v3_20251222_235207,29,0.4568009358613997,0.3677593145189406,87.66,30.82508241155715,0.01,87.66,NORMAL,CONVERGENCE,2025-12-23T03:51:13.764102,-0.08904162134245908,87.66,0.3646564636426636,-0.004339369704656315,0.0031028508762770413,Alerta,0.37921227925940404,-0.01180325509141625,87.16799999999999,0.4107142857142852,False
greg_v3_20251222_235207,30,0.4491462259722488,0.35939648917204214,87.68,31.889698657554682,0.01,87.68,NORMAL,CONVERGENCE,2025-12-23T03:59:07.075865,-0.08974973680020665,87.68,0.35939648917204214,-0.007654709889150901,-0.008362825346898473,Alerta,0.37090422454514077,-0.009203011159924876,87.408,0.33035714285714335,False
greg_v3_20251222_235207,32,0.4359484388852668,0.3686520163016983,87.76,34.174506324953725,0.01,87.76,NORMAL,CONVERGENCE,2025-12-23T04:14:44.690881,-0.0672964225835685,87.76,0.35939648917204214,-0.013197787086981994,0.00925552712965616,Alerta,0.36549145111554787,-0.006025953046559859,87.636,0.2192857142857143,False
greg_v3_20251222_235207,33,0.4288299172125814,0.3362401080659673,88.56,35.71723184384953,0.01,88.56,NORMAL,CONVERGENCE,2025-12-23T04:22:38.388599,-0.09258980914661408,88.56,0.3362401080659673,-0.007118521672685396,-0.03241190823573098,Alerta,0.3593408783402624,-0.006441757567967903,87.852,0.23071428571428598,False
greg_v3_20251222_235207,34,0.4212486996217762,0.34420262220539627,88.68,37.45046733871638,0.01,88.68,NORMAL,CONVERGENCE,2025-12-23T04:30:25.804074,-0.07704607741637992,88.68,0.3362401080659673,-0.0075812175908052115,0.007962514139428944,Alerta,0.35525011005280893,-0.004439680663629636,88.068,0.20071428571428687,False
greg_v3_20251222_235207,35,0.4156991057002636,0.32757268336754813,88.73,38.37884813995863,0.01,88.73,NORMAL,CONVERGENCE,2025-12-23T04:38:34.534817,-0.08812642233271545,88.73,0.32757268336754813,-0.005549593921512608,-0.016629938837848135,Alerta,0.34721278382253046,-0.006482896662803922,88.28200000000001,0.22535714285714445,False
greg_v3_20251222_235207,36,0.4135644152341291,0.3362315034941782,88.74,38.91219845911335,0.01,88.74,NORMAL,CONVERGENCE,2025-12-23T04:46:21.664959,-0.07733291173995094,88.74,0.32757268336754813,-0.002134690466134459,0.008658820126630051,Alerta,0.34257978668695765,-0.006524301384984905,88.494,0.22357142857142823,False
greg_v3_20251222_235207,38,0.4020135364187953,0.31692117905314965,89.45,40.47060085198036,0.01,89.45,NORMAL,CONVERGENCE,2025-12-23T05:01:59.548564,-0.08509235736564563,89.45,0.31692117905314965,-0.011550878815333843,-0.019310324441028537,Alerta,0.3322336192372479,-0.007176227881076318,88.83200000000001,0.2657142857142846,False
